"","incidenceLowValue","incidenceHiValue","c(paste(valueTable[, 1], ""V_0"", sep = ""_""), paste(valueTable[, "
"3",-0.00873053623966868,-0.00873053623966868,"eta_V_0"
"8",-0.00873053623966868,-0.00873053623966868,"effIRS_V_0"
"19",-0.00873053623966868,-0.00873053623966868,"IRSscale_V_0"
"20",-0.00873053623966868,-0.00873053623966868,"covIRSi_V_0"
"23",-0.00873053623966868,-0.00873053623966868,"ka_V_0"
"24",-0.00873053623966868,-0.00873053623966868,"delta_V_0"
"28",-0.00873053623966868,-0.00873053623966868,"kf_V_0"
"29",-0.00873053623966868,-0.00873053623966868,"ks_V_0"
"30",-0.00873053623966868,-0.00873053623966868,"tm_1_V_0"
"31",-0.00873053623966868,-0.00873053623966868,"tm_2_V_0"
"32",-0.00873053623966868,-0.00873053623966868,"tm_3_V_0"
"33",-0.00873053623966868,-0.00873053623966868,"effv_3_V_0"
"34",-0.00873053623966868,-0.00873053623966868,"effv_4_V_0"
"42",0,0,"eta_V_1"
"47",0,0,"effIRS_V_1"
"58",0,0,"IRSscale_V_1"
"59",0,0,"covIRSi_V_1"
"69",0,0,"tm_1_V_1"
"70",0,0,"tm_2_V_1"
"71",0,0,"tm_3_V_1"
"73",-3.25657843358584e-07,8.233230778254e-07,"effv_4_V_1"
"62",8.16483825993863e-07,-2.12250135364078e-05,"ka_V_1"
"60",-0.000518684850251638,0,"lossd_V_1"
"22",-0.00810146863038641,-0.00911059863922914,"dm_V_0"
"21",-0.0101982527060119,-0.00873053623966868,"lossd_V_0"
"27",-0.00980397462100147,-0.00767307819607099,"cmda_3_V_0"
"26",-0.00984048445713182,-0.00764460098428155,"cmda_2_V_0"
"68",-0.00124418636772405,0.00121353703382665,"ks_V_1"
"72",-0.00192710978748756,0.000593623582547109,"effv_3_V_1"
"25",-0.010198972069978,-0.00729659515526704,"cmda_1_V_0"
"66",-0.00159543714232335,0.00148092515389253,"cmda_3_V_1"
"61",-0.00191189606310038,0.00171799102712122,"dm_V_1"
"56",0.000681332565422132,-0.00300611170069853,"ITNscale_V_1"
"48",-0.00892051774329028,-0.0128576502954896,"muC_V_1"
"65",-0.00207896931583162,0.00196365399304055,"cmda_2_V_1"
"64",-0.0022074912046125,0.00206943749073218,"cmda_1_V_1"
"17",-0.00776206508226873,-0.0131263980160627,"ITNscale_V_0"
"52",0.00345672115257578,-0.00274555456380354,"percfail2019_V_1"
"67",-0.00485369512557277,0.00163490852622683,"kf_V_1"
"9",-0.0177446259615385,-0.0247905006757386,"muC_V_0"
"55",-0.00518344042240759,0.00340948597481261,"covEDATi_V_1"
"13",-0.00372856746847194,-0.0127560515527729,"percfail2019_V_0"
"74",0.000389579990431321,-0.00984849083257044,"MSATscale_V_1"
"63",0.00748882878969703,-0.00325090156155494,"delta_V_1"
"35",-0.00817707071340779,-0.0204857085832628,"MSATscale_V_0"
"16",-0.0187022166416908,-0.000229234055256433,"covEDATi_V_0"
"78",-0.00194050975343196,0.0168386312425751,"MSATsensU_V_1"
"54",0.00266046161924216,-0.016578470849215,"EDATscale_V_1"
"39",-0.0107392987385122,0.00869823036164508,"MSATsensU_V_0"
"76",-0.01818758658418,0.00202072530348596,"MSATsensC_V_1"
"37",-0.0275570570867725,-0.006637154268886,"MSATsensC_V_0"
"15",-0.00496276982963795,-0.0330723199361561,"EDATscale_V_0"
"40",-0.0135624732986144,0.0148541048293883,"API_V_1"
"12",-0.020497642726963,0.00832961088592188,"percfail2018_V_0"
"51",-0.0117025116343703,0.0171285250340868,"percfail2018_V_1"
"1",-0.0226072068860528,0.0064111670023167,"API_V_0"
"77",-0.0323815160664251,0.0152673307243851,"MSATsensA_V_1"
"38",-0.0422474525326653,0.00707330680143792,"MSATsensA_V_0"
"6",-0.120406507964059,-0.193139692205294,"effITN_V_0"
"57",-0.0861527526556545,0,"covITNi_V_1"
"4",-0.0474599518983656,-0.143234056812706,"covEDAT0_V_0"
"53",0.0371019173748151,-0.0629872203449447,"percfail2020_V_1"
"75",-0.0816711493907268,0.020500499226114,"covMSATi_V_1"
"18",-0.111922444602334,-0.00873053623966868,"covITNi_V_0"
"36",-0.093253756922611,0.0124914970222767,"covMSATi_V_0"
"43",-0.0238288930072513,-0.132355818822369,"covEDAT0_V_1"
"14",0.0327660319561048,-0.0806802916475138,"percfail2020_V_0"
"45",-0.0529373903166839,-0.188795583635306,"effITN_V_1"
"7",-0.00873053623966868,-0.176348296175242,"covIRS0_V_0"
"46",0,-0.168480325615934,"covIRS0_V_1"
"49",0.00502206258839955,-0.186331488699586,"muA_V_1"
"10",-0.00332405926462909,-0.205361048239825,"muA_V_0"
"41",-0.325123727595815,-0.5963014695426,"bh_max_V_1"
"44",0.0875973116945082,-0.241212727904714,"covITN0_V_1"
"5",0.0785115429477651,-0.257683137297819,"covITN0_V_0"
"2",-0.331535168819979,-0.809347069066008,"bh_max_V_0"
"50",0.030069965927304,-0.531331443255569,"muU_V_1"
"11",0.0224703868865791,-0.558304662371493,"muU_V_0"
